#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
orf00001_1	1367491.BN865_08190c	7.48e-236	650.0	Epsilonproteobacteria	pseI		2.5.1.56,2.5.1.97	ko:K01654,ko:K15898	ko00520,ko01100,map00520,map01100		R01804,R04435,R09841	RC00159	ko00000,ko00001,ko01000				Bacteria	1MWG3@1224,2YMDZ@29547,42ME3@68525,COG2089@1,COG2089@2	NA|NA|NA	M	acid synthase
orf00002_1	1367491.BN865_08160c	2.48e-226	624.0	Epsilonproteobacteria			4.2.1.46,5.1.3.2	ko:K01710,ko:K01784	ko00052,ko00520,ko00521,ko00523,ko00525,ko01055,ko01100,ko01130,map00052,map00520,map00521,map00523,map00525,map01055,map01100,map01130	M00361,M00362,M00632,M00793	R00291,R02984,R06513	RC00289,RC00402	ko00000,ko00001,ko00002,ko01000				Bacteria	1QUEV@1224,2YMGV@29547,43BNE@68525,COG0451@1,COG0451@2	NA|NA|NA	M	Male sterility protein
orf00003_1	1367491.BN865_08150c	4.42e-273	747.0	Epsilonproteobacteria			2.6.1.102,2.6.1.34	ko:K13010,ko:K15910	ko00520,map00520		R10460	RC00006,RC00781	ko00000,ko00001,ko01000,ko01005,ko01007				Bacteria	1MUPN@1224,2YMVU@29547,42MJD@68525,COG0399@1,COG0399@2	NA|NA|NA	E	Belongs to the DegT DnrJ EryC1 family
orf00004_1	1367491.BN865_08130c	1.92e-267	732.0	Epsilonproteobacteria													Bacteria	1QWU6@1224,2YTAF@29547,43BVI@68525,COG1365@1,COG1365@2	NA|NA|NA		
orf00005_1	1367491.BN865_08110c	2.6e-162	454.0	Epsilonproteobacteria			2.1.1.197	ko:K02169	ko00780,ko01100,map00780,map01100	M00572	R09543	RC00003,RC00460	ko00000,ko00001,ko00002,ko01000				Bacteria	1QE88@1224,2YPD0@29547,42S4M@68525,COG0500@1,COG0500@2	NA|NA|NA	Q	identified by Glimmer3 with a raw score of
orf00006_1	1367491.BN865_08100c	8.23e-224	619.0	Epsilonproteobacteria	neuB	GO:0003674,GO:0003824,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0016051,GO:0016740,GO:0016765,GO:0044238,GO:0071704,GO:1901576	2.5.1.101,2.5.1.56	ko:K01654,ko:K18430	ko00520,ko01100,map00520,map01100		R01804,R04435,R10304	RC00159	ko00000,ko00001,ko01000				Bacteria	1MWG3@1224,2YMZ1@29547,42ME3@68525,COG2089@1,COG2089@2	NA|NA|NA	M	NeuB family
orf00007_1	1367491.BN865_08090c	4.26e-267	733.0	Epsilonproteobacteria	neuC	GO:0003674,GO:0003824,GO:0004553,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0016051,GO:0016787,GO:0016798,GO:0044238,GO:0071704,GO:1901576	3.2.1.184,5.1.3.14	ko:K01791,ko:K18429	ko00520,ko01100,ko05111,map00520,map01100,map05111	M00362	R00420,R10187	RC00005,RC00288,RC00290	ko00000,ko00001,ko00002,ko01000,ko01005				Bacteria	1MWZN@1224,2YMSZ@29547,42N4A@68525,COG0381@1,COG0381@2	NA|NA|NA	M	UDP-N-acetylglucosamine 2-epimerase
orf00008_1	1367491.BN865_08070c	2.61e-236	651.0	Epsilonproteobacteria	ptmE												Bacteria	1MUYJ@1224,2YMSQ@29547,42MX5@68525,COG0517@1,COG0517@2,COG1208@1,COG1208@2	NA|NA|NA	M	COG1208 Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis translation initiation factor 2B, gamma epsilon subunits (eIF-2Bgamma eIF-2Bepsilon)
orf00009_1	1367491.BN865_08060c	3.89e-210	581.0	Epsilonproteobacteria	ptmF		2.7.7.82	ko:K18431	ko00520,map00520		R10182	RC00152	ko00000,ko00001,ko01000				Bacteria	1R7HT@1224,2YNFZ@29547,42MT0@68525,COG0673@1,COG0673@2	NA|NA|NA	S	dehydrogenases and related proteins
orf00010_1	1367491.BN865_08050c	7.99e-161	451.0	Epsilonproteobacteria	ptmB	GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009987,GO:0016051,GO:0016740,GO:0016772,GO:0016779,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	2.7.7.43,2.7.7.82	ko:K00983,ko:K18431	ko00520,ko01100,map00520,map01100		R01117,R04215,R10182	RC00152	ko00000,ko00001,ko01000				Bacteria	1QACI@1224,2YN1C@29547,42P8F@68525,COG1083@1,COG1083@2	NA|NA|NA	M	Cytidylyltransferase
orf00011_1	1367491.BN865_08040c	1.5e-180	503.0	Epsilonproteobacteria													Bacteria	1R96E@1224,2YNIV@29547,43AE3@68525,COG1028@1,COG1028@2	NA|NA|NA	N	Enoyl-(Acyl carrier protein) reductase
orf00012_1	192222.Cj1334	1.81e-287	803.0	Epsilonproteobacteria	pseE												Bacteria	1R4P0@1224,2YMMI@29547,42NB8@68525,COG2604@1,COG2604@2	NA|NA|NA	S	hmm pf01973
orf00013_1	192222.Cj1318	3.11e-266	752.0	Epsilonproteobacteria	pseD												Bacteria	1R4P0@1224,2YMMI@29547,42NB8@68525,COG2604@1,COG2604@2	NA|NA|NA	S	hmm pf01973
orf00014_1	354242.CJJ81176_1337	0.0	999.0	Epsilonproteobacteria	pseE												Bacteria	1R4P0@1224,2YMMI@29547,42NB8@68525,COG2604@1,COG2604@2	NA|NA|NA	S	hmm pf01973
orf00015_1	354242.CJJ81176_1338	5.17e-46	162.0	Epsilonproteobacteria	flaB	GO:0001539,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588		ko:K02406	ko02020,ko02040,ko04621,ko04626,ko05132,ko05134,map02020,map02040,map04621,map04626,map05132,map05134				ko00000,ko00001,ko02035				Bacteria	1MV1N@1224,2YN00@29547,42MX8@68525,COG1344@1,COG1344@2	NA|NA|NA	N	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella
orf00056_1	192222.Cj0479	0.0	2907.0	Epsilonproteobacteria	rpoC	GO:0000428,GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234	2.7.7.6	ko:K03046,ko:K13797	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400				Bacteria	1MU3M@1224,2YMP9@29547,42NAW@68525,COG0086@1,COG0086@2	NA|NA|NA	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
orf00016_1	192222.Cj0471	2.02e-31	109.0	Epsilonproteobacteria	rpmG			ko:K02913	ko03010,map03010	M00178			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1NJ67@1224,2YQ8V@29547,42V5X@68525,COG0267@1,COG0267@2	NA|NA|NA	J	Belongs to the bacterial ribosomal protein bL33 family
orf00017_1	192222.Cj0470	9.24e-288	786.0	Epsilonproteobacteria	tuf	GO:0001666,GO:0001817,GO:0001819,GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006950,GO:0008150,GO:0009274,GO:0009275,GO:0009628,GO:0009986,GO:0010035,GO:0010038,GO:0010039,GO:0010339,GO:0016020,GO:0019899,GO:0022610,GO:0030312,GO:0032677,GO:0032757,GO:0032879,GO:0032880,GO:0035375,GO:0035821,GO:0036293,GO:0040007,GO:0042221,GO:0044003,GO:0044068,GO:0044403,GO:0044406,GO:0044419,GO:0044424,GO:0044426,GO:0044444,GO:0044462,GO:0044464,GO:0044650,GO:0044651,GO:0048518,GO:0048522,GO:0050707,GO:0050708,GO:0050714,GO:0050715,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051222,GO:0051223,GO:0051239,GO:0051240,GO:0051701,GO:0051704,GO:0051817,GO:0065007,GO:0070201,GO:0070482,GO:0071944,GO:0090087,GO:1903530,GO:1903532,GO:1904951,GO:2000482,GO:2000484		ko:K02358,ko:K15771	ko02010,map02010	M00491			ko00000,ko00001,ko00002,ko02000,ko03012,ko03029,ko04147	3.A.1.1.16,3.A.1.1.2		iSB619.SA_RS02960	Bacteria	1MVC0@1224,2YMZW@29547,42MWZ@68525,COG0050@1,COG0050@2	NA|NA|NA	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
orf00018_1	192222.Cj0469	1.16e-169	474.0	Epsilonproteobacteria	glnQ		3.6.3.21	ko:K02028		M00236			ko00000,ko00002,ko01000,ko02000	3.A.1.3			Bacteria	1MU9Q@1224,2YMQY@29547,42M0S@68525,COG1126@1,COG1126@2	NA|NA|NA	E	abc transporter atp-binding protein
orf00019_1	192222.Cj0468	2.5e-151	426.0	Epsilonproteobacteria	glnP			ko:K02029		M00236			ko00000,ko00002,ko02000	3.A.1.3			Bacteria	1R7ZY@1224,2YNIN@29547,42Q4V@68525,COG0765@1,COG0765@2	NA|NA|NA	P	ABC transporter, permease protein
