#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
orf00002_1	1121267.JHZL01000010_gene374	4.17e-26	97.8	Epsilonproteobacteria													Bacteria	1Q5UN@1224,2A0SZ@1,2YSCA@29547,30NXM@2,431UX@68525	NA|NA|NA		
orf00001_1	360107.CHAB381_A0005	4.06e-105	347.0	delta/epsilon subdivisions													Bacteria	1QYQR@1224,2AQWX@1,2ZYSX@2,43CI2@68525	NA|NA|NA	S	Relaxase/Mobilisation nuclease domain
orf00007_1	360107.CHAB381_A0005	3.8e-111	347.0	delta/epsilon subdivisions													Bacteria	1QYQR@1224,2AQWX@1,2ZYSX@2,43CI2@68525	NA|NA|NA	S	Relaxase/Mobilisation nuclease domain
orf00003_1	192222.Cj0288c	1.44e-255	701.0	Epsilonproteobacteria	lpxB	GO:0003674,GO:0003824,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008194,GO:0008289,GO:0008610,GO:0008654,GO:0008915,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016020,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0019637,GO:0019897,GO:0019898,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046467,GO:0046493,GO:0071704,GO:0071944,GO:0090407,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509	2.4.1.182	ko:K00748	ko00540,ko01100,map00540,map01100	M00060	R04606	RC00005,RC00059	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005		GT19	iE2348C_1286.E2348C_0187,iEcolC_1368.EcolC_3478,iIT341.HP0867	Bacteria	1MVBI@1224,2YN2K@29547,42P35@68525,COG0763@1,COG0763@2	NA|NA|NA	M	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
orf00004_1	192222.Cj0289c	1.57e-179	499.0	Epsilonproteobacteria	peb3			ko:K10938	ko05111,map05111				ko00000,ko00001				Bacteria	1N6UH@1224,2YNIT@29547,42QEC@68525,COG4588@1,COG4588@2	NA|NA|NA	S	Bacterial extracellular solute-binding protein
orf00005_1	1367491.BN865_01310	1.37e-163	467.0	Epsilonproteobacteria	pgtP			ko:K02445,ko:K11382	ko02020,map02020				ko00000,ko00001,ko02000	2.A.1.4.2,2.A.1.4.3			Bacteria	1MX4V@1224,2YP96@29547,42QEQ@68525,COG2271@1,COG2271@2	NA|NA|NA	G	Catalyzes the uptake of glycerol-3-phosphate into the cell with the simultaneous export of inorganic phosphate from the cell
orf00006_1	1367491.BN865_01310	2.95e-111	331.0	Epsilonproteobacteria	pgtP			ko:K02445,ko:K11382	ko02020,map02020				ko00000,ko00001,ko02000	2.A.1.4.2,2.A.1.4.3			Bacteria	1MX4V@1224,2YP96@29547,42QEQ@68525,COG2271@1,COG2271@2	NA|NA|NA	G	Catalyzes the uptake of glycerol-3-phosphate into the cell with the simultaneous export of inorganic phosphate from the cell
orf00008_1	192222.Cj0294	2.13e-150	423.0	Epsilonproteobacteria	ygdL	GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016829,GO:0016835,GO:0016836,GO:0030955,GO:0031402,GO:0031420,GO:0034470,GO:0034641,GO:0034660,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0046872,GO:0061503,GO:0061504,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	2.7.7.73,2.7.7.80	ko:K03148,ko:K21029,ko:K22132	ko00730,ko01100,ko04122,map00730,map01100,map04122		R07459	RC00043	ko00000,ko00001,ko01000,ko03016				Bacteria	1MWXR@1224,2YNF2@29547,42PHC@68525,COG1179@1,COG1179@2	NA|NA|NA	H	involved in molybdopterin and thiamine biosynthesis family 1
orf00009_1	192222.Cj0295	4.9e-103	298.0	Bacteria				ko:K03830					ko00000,ko01000				Bacteria	COG0454@1,COG0454@2	NA|NA|NA	K	-acetyltransferase
orf00010_1	192222.Cj0296c	7.81e-83	245.0	Epsilonproteobacteria	panD		4.1.1.11	ko:K01579	ko00410,ko00770,ko01100,ko01110,map00410,map00770,map01100,map01110	M00119	R00489	RC00299	ko00000,ko00001,ko00002,ko01000				Bacteria	1RI1B@1224,2YPGH@29547,42SBM@68525,COG0853@1,COG0853@2	NA|NA|NA	H	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine
orf00011_1	192222.Cj0297c	1.78e-201	558.0	Epsilonproteobacteria	panC	GO:0003674,GO:0003824,GO:0004127,GO:0004592,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006573,GO:0006575,GO:0006725,GO:0006732,GO:0006753,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009081,GO:0009108,GO:0009110,GO:0009117,GO:0009123,GO:0009165,GO:0009987,GO:0015939,GO:0015940,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019752,GO:0032787,GO:0033317,GO:0034641,GO:0034654,GO:0042364,GO:0042398,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046939,GO:0046940,GO:0050145,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	2.7.4.25,6.3.2.1	ko:K01918,ko:K13799	ko00240,ko00410,ko00770,ko01100,ko01110,map00240,map00410,map00770,map01100,map01110	M00052,M00119	R00158,R00512,R01665,R02473	RC00002,RC00096,RC00141	ko00000,ko00001,ko00002,ko01000				Bacteria	1MV1S@1224,2YMKA@29547,42N3J@68525,COG0414@1,COG0414@2	NA|NA|NA	H	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate
orf00012_1	192222.Cj0298c	1.23e-188	525.0	Epsilonproteobacteria	panB		2.1.2.11	ko:K00606	ko00770,ko01100,ko01110,map00770,map01100,map01110	M00119	R01226	RC00022,RC00200	ko00000,ko00001,ko00002,ko01000				Bacteria	1MU3B@1224,2YMU9@29547,42MES@68525,COG0413@1,COG0413@2	NA|NA|NA	H	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate
orf00013_1	192222.Cj0299	3.11e-177	494.0	Epsilonproteobacteria	bla		3.5.2.6	ko:K17838,ko:K18793,ko:K18794,ko:K19210,ko:K19211,ko:K19212,ko:K19318,ko:K19321,ko:K21277,ko:K22333,ko:K22351	ko01501,map01501		R06363	RC01499	br01600,ko00000,ko00001,ko01000,ko01504				Bacteria	1NWXE@1224,2YNVP@29547,42QWH@68525,COG2602@1,COG2602@2	NA|NA|NA	V	Penicillin binding protein transpeptidase domain
orf00014_1	192222.Cj0300c	4.31e-199	553.0	Epsilonproteobacteria	modC		3.6.3.29	ko:K02017,ko:K02018	ko02010,map02010	M00189			ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.8			Bacteria	1QVTM@1224,2YTA1@29547,430AU@68525,COG1118@1,COG1118@2	NA|NA|NA	P	ATP-binding protein
orf00015_1	192222.Cj0301c	4e-135	385.0	Epsilonproteobacteria	modB			ko:K02018,ko:K15496	ko02010,map02010	M00189,M00423			ko00000,ko00001,ko00002,ko02000	3.A.1.6.5,3.A.1.8			Bacteria	1MUXR@1224,2YN88@29547,42NZV@68525,COG4149@1,COG4149@2	NA|NA|NA	P	ABC transporter permease
orf00016_1	192222.Cj0302c	2.76e-84	249.0	Epsilonproteobacteria			3.6.3.29,3.6.3.55	ko:K02017,ko:K02019,ko:K06857	ko02010,map02010	M00186,M00189	R10531	RC00002	ko00000,ko00001,ko00002,ko01000,ko02000,ko03000	3.A.1.6.2,3.A.1.6.4,3.A.1.8			Bacteria	1Q14E@1224,2YQKR@29547,42WP4@68525,COG3585@1,COG3585@2	NA|NA|NA	H	molybdate ion transport
orf00017_1	192222.Cj0303c	6.53e-167	468.0	Epsilonproteobacteria	modA			ko:K02020	ko02010,map02010	M00189			ko00000,ko00001,ko00002,ko02000	3.A.1.8			Bacteria	1MVNA@1224,2YNG3@29547,42QWE@68525,COG0725@1,COG0725@2	NA|NA|NA	P	ABC transporter, periplasmic molybdate-binding protein
orf00018_1	192222.Cj0304c	1.09e-150	425.0	Epsilonproteobacteria	bioC		2.1.1.197	ko:K02169	ko00780,ko01100,map00780,map01100	M00572	R09543	RC00003,RC00460	ko00000,ko00001,ko00002,ko01000				Bacteria	1QUHW@1224,2YTAA@29547,43BVE@68525,COG0500@1,COG0500@2	NA|NA|NA	Q	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway
orf00019_1	192222.Cj0305c	2.6e-132	376.0	Epsilonproteobacteria	bioC		2.1.1.197,3.1.1.85	ko:K02169,ko:K09789	ko00780,ko01100,map00780,map01100	M00572	R09543,R09725	RC00003,RC00460,RC00461	ko00000,ko00001,ko00002,ko01000				Bacteria	1R3YT@1224,2YP4J@29547,42RXG@68525,COG2830@1,COG2830@2	NA|NA|NA	S	Protein of unknown function (DUF452)
