#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
orf00001_1	354242.CJJ81176_1216	0.0	1462.0	Epsilonproteobacteria	metE	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0003871,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006464,GO:0006479,GO:0006520,GO:0006555,GO:0006575,GO:0006725,GO:0006730,GO:0006732,GO:0006760,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008213,GO:0008276,GO:0008652,GO:0008705,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016020,GO:0016053,GO:0016740,GO:0016741,GO:0019538,GO:0019752,GO:0030312,GO:0032259,GO:0034641,GO:0035999,GO:0036211,GO:0040007,GO:0042084,GO:0042085,GO:0042558,GO:0043170,GO:0043412,GO:0043414,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046653,GO:0050667,GO:0051186,GO:0071704,GO:0071944,GO:0140096,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.1.1.14	ko:K00549	ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230	M00017	R04405,R09365	RC00035,RC00113,RC01241	ko00000,ko00001,ko00002,ko01000			iE2348C_1286.E2348C_4130,iECO103_1326.ECO103_4334,iECO111_1330.ECO111_4657,iECO26_1355.ECO26_4756,iECW_1372.ECW_m4131,iEKO11_1354.EKO11_4528,iPC815.YPO3788,iWFL_1372.ECW_m4131	Bacteria	1MUI9@1224,2YN4J@29547,42M8I@68525,COG0620@1,COG0620@2	NA|NA|NA	E	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation
orf00002_1	683083.C414_000040089	3.36e-156	443.0	Epsilonproteobacteria													Bacteria	1PST9@1224,2YPJF@29547,42SMI@68525,COG1716@1,COG1716@2	NA|NA|NA	T	conserved protein contains FHA domain
orf00003_1	1121267.JHZL01000019_gene1260	1.75e-73	228.0	Epsilonproteobacteria	tssG			ko:K11895	ko02025,map02025	M00334			ko00000,ko00001,ko00002,ko02044	3.A.23.1			Bacteria	1MWVS@1224,2YN8Z@29547,42Q2Y@68525,COG3520@1,COG3520@2	NA|NA|NA	S	Type VI secretion, TssG
orf00004_1	683083.C414_000040099	1.44e-31	117.0	Epsilonproteobacteria	tssG			ko:K11895	ko02025,map02025	M00334			ko00000,ko00001,ko00002,ko02044	3.A.23.1			Bacteria	1MWVS@1224,2YN8Z@29547,42Q2Y@68525,COG3520@1,COG3520@2	NA|NA|NA	S	Type VI secretion, TssG
orf00005_1	683083.C414_000040100	0.0	1006.0	Epsilonproteobacteria				ko:K11904	ko03070,map03070	M00334			ko00000,ko00001,ko00002,ko02044	3.A.23.1			Bacteria	1MU7Q@1224,2YN67@29547,42Q4M@68525,COG3501@1,COG3501@2	NA|NA|NA	S	protein conserved in bacteria
orf00006_1	683083.C414_000040100	1.2e-31	129.0	Epsilonproteobacteria				ko:K11904	ko03070,map03070	M00334			ko00000,ko00001,ko00002,ko02044	3.A.23.1			Bacteria	1MU7Q@1224,2YN67@29547,42Q4M@68525,COG3501@1,COG3501@2	NA|NA|NA	S	protein conserved in bacteria
orf00007_1	425400.LS65_01170	7.17e-53	181.0	Bacteria													Bacteria	COG0666@1,COG0666@2	NA|NA|NA	G	response to abiotic stimulus
orf00010_1	683083.C414_000050004	2.69e-91	276.0	Epsilonproteobacteria													Bacteria	1QBHE@1224,2YN7Y@29547,42PCC@68525,COG2931@1,COG2931@2	NA|NA|NA	Q	calcium- and calmodulin-responsive adenylate cyclase activity
orf00011_1	235279.HH_1587	9.68e-88	261.0	Bacteria													Bacteria	29NMT@1,309JR@2	NA|NA|NA		
orf00012_1	683083.C414_000080050	1.15e-68	208.0	Bacteria													Bacteria	2E7YT@1,332D7@2	NA|NA|NA		
orf00014_1	1121267.JHZL01000019_gene1261	2.73e-45	169.0	Epsilonproteobacteria				ko:K11904	ko03070,map03070	M00334			ko00000,ko00001,ko00002,ko02044	3.A.23.1			Bacteria	1MU7Q@1224,2YN67@29547,42Q4M@68525,COG3501@1,COG3501@2	NA|NA|NA	S	protein conserved in bacteria
orf00015_1	537971.HCCG_02290	2.28e-79	278.0	Bacteria				ko:K07004					ko00000				Bacteria	COG2931@1,COG2931@2	NA|NA|NA	Q	calcium- and calmodulin-responsive adenylate cyclase activity
orf00017_1	50960.LS81_11830	1.14e-35	127.0	Epsilonproteobacteria													Bacteria	1NGDW@1224,2YT18@29547,42XBQ@68525,COG4461@1,COG4461@2	NA|NA|NA	S	Protein conserved in bacteria
orf00019_1	1325130.HFN_1435	2.43e-36	140.0	Epsilonproteobacteria													Bacteria	1QZCJ@1224,2YRWF@29547,42ZZJ@68525,COG1388@1,COG1388@2	NA|NA|NA	M	LysM domain
orf00021_1	1121267.JHZL01000019_gene1261	1.41e-49	179.0	Epsilonproteobacteria				ko:K11904	ko03070,map03070	M00334			ko00000,ko00001,ko00002,ko02044	3.A.23.1			Bacteria	1MU7Q@1224,2YN67@29547,42Q4M@68525,COG3501@1,COG3501@2	NA|NA|NA	S	protein conserved in bacteria
orf00025_1	1121267.JHZL01000019_gene1269	2.11e-311	882.0	Epsilonproteobacteria	cloSI		3.4.22.8	ko:K08587					ko00000,ko01000,ko01002,ko02042				Bacteria	1MU7T@1224,2YSUP@29547,432NK@68525,COG2931@1,COG2931@2	NA|NA|NA	Q	COG2931, RTX toxins and related Ca2 -binding proteins
orf00026_1	1121267.JHZL01000019_gene1269	2.81e-38	155.0	Epsilonproteobacteria	cloSI		3.4.22.8	ko:K08587					ko00000,ko01000,ko01002,ko02042				Bacteria	1MU7T@1224,2YSUP@29547,432NK@68525,COG2931@1,COG2931@2	NA|NA|NA	Q	COG2931, RTX toxins and related Ca2 -binding proteins
orf00028_1	354242.CJJ81176_1031	9.77e-95	277.0	Epsilonproteobacteria													Bacteria	1Q1DC@1224,2BNPN@1,2YPKK@29547,32HCQ@2,42TC7@68525	NA|NA|NA		
orf00029_1	192222.Cj1013c	0.0	2107.0	Epsilonproteobacteria	ccsBA												Bacteria	1RG0A@1224,2YMXW@29547,42N37@68525,COG0755@1,COG0755@2,COG1333@1,COG1333@2	NA|NA|NA	O	Cytochrome c biogenesis protein
orf00030_1	192222.Cj1014c	4.63e-158	444.0	Epsilonproteobacteria	livF			ko:K01996	ko02010,ko02024,map02010,map02024	M00237			ko00000,ko00001,ko00002,ko02000	3.A.1.4			Bacteria	1MVVC@1224,2YMB4@29547,42M9C@68525,COG0410@1,COG0410@2	NA|NA|NA	E	amino acid abc transporter
orf00031_1	192222.Cj1015c	4.13e-178	496.0	Epsilonproteobacteria	livG			ko:K01995	ko02010,ko02024,map02010,map02024	M00237			ko00000,ko00001,ko00002,ko02000	3.A.1.4			Bacteria	1MUTY@1224,2YMVR@29547,42NMG@68525,COG0411@1,COG0411@2	NA|NA|NA	E	Abc transporter
orf00032_1	192222.Cj1016c	1.08e-229	635.0	Epsilonproteobacteria	livM			ko:K01998	ko02010,ko02024,map02010,map02024	M00237			ko00000,ko00001,ko00002,ko02000	3.A.1.4			Bacteria	1MV66@1224,2YMBQ@29547,42M19@68525,COG4177@1,COG4177@2	NA|NA|NA	E	Belongs to the binding-protein-dependent transport system permease family
orf00033_1	192222.Cj1017c	4.13e-199	553.0	Epsilonproteobacteria	livH			ko:K01997	ko02010,ko02024,map02010,map02024	M00237			ko00000,ko00001,ko00002,ko02000	3.A.1.4			Bacteria	1MU25@1224,2YN8X@29547,42NUE@68525,COG0559@1,COG0559@2	NA|NA|NA	E	Belongs to the binding-protein-dependent transport system permease family
