#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
orf00001_1	537972.ABQU01000093_gene1106	1.22e-153	432.0	Epsilonproteobacteria	traK			ko:K20531	ko02024,map02024				ko00000,ko00001,ko02044	3.A.7.4			Bacteria	1MVUC@1224,2YR7A@29547,42TGS@68525,COG3701@1,COG3701@2	NA|NA|NA	U	VirB8 protein
orf00002_1	537972.ABQU01000093_gene1105	4.88e-205	572.0	Epsilonproteobacteria	trbG			ko:K20532	ko02024,map02024				ko00000,ko00001,ko02044	3.A.7.4			Bacteria	1MVEF@1224,2YR66@29547,42RJC@68525,COG3504@1,COG3504@2	NA|NA|NA	U	Conjugal transfer protein
orf00003_1	537972.ABQU01000093_gene1104	9.79e-64	197.0	Epsilonproteobacteria													Bacteria	1Q5RP@1224,2AJW9@1,2YSE3@29547,31AJ5@2,431PC@68525	NA|NA|NA		
orf00004_1	537972.ABQU01000093_gene1103	3.75e-188	535.0	Epsilonproteobacteria	trbI			ko:K20533	ko02024,map02024				ko00000,ko00001,ko02044	3.A.7.4			Bacteria	1MU7U@1224,2YR2G@29547,42MIT@68525,COG2948@1,COG2948@2	NA|NA|NA	U	Bacterial conjugation TrbI-like protein
orf00006_1	537972.ABQU01000093_gene1102	5.17e-90	268.0	Epsilonproteobacteria	trwN			ko:K03194,ko:K08307,ko:K08309,ko:K12089	ko03070,ko05120,map03070,map05120	M00333,M00564			ko00000,ko00001,ko00002,ko01000,ko01011,ko02044	3.A.7.12.1	GH23		Bacteria	1PZQV@1224,2YRTS@29547,42XKJ@68525,COG0741@1,COG0741@2	NA|NA|NA	M	Transglycosylase SLT domain
orf00009_1	537972.ABQU01000093_gene1099	0.0	1331.0	Epsilonproteobacteria	traC			ko:K06919					ko00000				Bacteria	1MU8I@1224,2YT93@29547,42N43@68525,COG4227@1,COG4227@2,COG4643@1,COG4643@2	NA|NA|NA	L	Domain of unknown function (DUF1738)
orf00010_1	537972.ABQU01000093_gene1098	0.0	1160.0	Epsilonproteobacteria	traG			ko:K03205	ko03070,map03070	M00333			ko00000,ko00001,ko00002,ko02044	3.A.7			Bacteria	1MV1G@1224,2YR5J@29547,42MMN@68525,COG3505@1,COG3505@2	NA|NA|NA	U	TraM recognition site of TraD and TraG
orf00011_1	537972.ABQU01000093_gene1097	1.38e-163	458.0	Epsilonproteobacteria	traL			ko:K03496					ko00000,ko03036,ko04812				Bacteria	1R4EP@1224,2YRG4@29547,42RYR@68525,COG1192@1,COG1192@2	NA|NA|NA	D	CobQ/CobB/MinD/ParA nucleotide binding domain
orf00012_1	983328.AFGH01000043_gene1779	1.7e-44	144.0	Epsilonproteobacteria													Bacteria	1Q3J1@1224,2BSZB@1,2YQW2@29547,32N38@2,42XDZ@68525	NA|NA|NA		
orf00013_1	537972.ABQU01000093_gene1095	1.52e-132	379.0	Epsilonproteobacteria	fic	GO:0008150,GO:0050789,GO:0050794,GO:0051302,GO:0065007		ko:K04095					ko00000,ko03036				Bacteria	1R8IJ@1224,2YPDN@29547,42R3V@68525,COG2184@1,COG2184@2	NA|NA|NA	D	Fic/DOC family
orf00014_1	537972.ABQU01000093_gene1094	6.83e-72	217.0	Epsilonproteobacteria	traF												Bacteria	1NCKG@1224,2YS68@29547,42XHW@68525,COG4959@1,COG4959@2	NA|NA|NA	OU	Signal peptidase, peptidase S26
orf00019_1	537972.ABQU01000093_gene1093	4.97e-77	231.0	Epsilonproteobacteria													Bacteria	1Q1W9@1224,2AIPN@1,2YSC1@29547,31969@2,431BY@68525	NA|NA|NA		
orf00020_1	537972.ABQU01000093_gene1092	3.15e-127	364.0	Epsilonproteobacteria				ko:K03496					ko00000,ko03036,ko04812				Bacteria	1N5CA@1224,2YPAI@29547,42RDX@68525,COG1192@1,COG1192@2	NA|NA|NA	D	ATPase MipZ
